attack,base_total,capture_rate,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,trainer_id,id
49,318,45,49,1059860,0.7,45,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0,934,2
62,405,45,63,1059860,1,60,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0,586,3
100,625,45,123,1059860,2,80,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0,1173,4
52,309,45,43,1059860,0.6,39,Charmander,88.1,4,60,50,65,fire,,8.5,1,0,171,5
64,405,45,58,1059860,1.1,58,Charmeleon,88.1,5,80,65,80,fire,,19,1,0,360,6
104,634,45,78,1059860,1.7,78,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0,898,7
48,314,45,65,1059860,0.5,44,Squirtle,88.1,7,50,64,43,water,,9,1,0,213,8
63,405,45,80,1059860,1,59,Wartortle,88.1,8,65,80,58,water,,22.5,1,0,372,9
103,630,45,120,1059860,1.6,79,Blastoise,88.1,9,135,115,78,water,,85.5,1,0,897,10
30,195,255,35,1000000,0.3,45,Caterpie,50,10,20,20,45,bug,,2.9,1,0,532,11
20,205,120,55,1000000,0.7,50,Metapod,50,11,25,25,30,bug,,9.9,1,0,1117,12
45,395,45,50,1000000,1.1,60,Butterfree,50,12,90,80,70,bug,flying,32,1,0,706,13
35,195,255,30,1000000,0.3,40,Weedle,50,13,20,20,50,bug,poison,3.2,1,0,1280,14
25,205,120,50,1000000,0.6,45,Kakuna,50,14,25,25,35,bug,poison,10,1,0,414,15
150,495,45,40,1000000,1,65,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0,709,16
45,251,255,40,1059860,0.3,40,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0,546,17
60,349,120,55,1059860,1.1,63,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0,222,18
80,579,45,80,1059860,1.5,83,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0,639,19
56,253,255,35,1000000,,30,Rattata,50,19,25,35,72,normal,dark,,1,0,14,20
71,413,127,70,1000000,,75,Raticate,50,20,40,80,77,normal,dark,,1,0,876,21
60,262,255,30,1000000,0.3,40,Spearow,50,21,31,31,70,normal,flying,2,1,0,802,22
90,442,90,65,1000000,1.2,65,Fearow,50,22,61,61,100,normal,flying,38,1,0,525,23
60,288,255,44,1000000,2,35,Ekans,50,23,40,54,55,poison,,6.9,1,0,921,24
95,448,90,69,1000000,3.5,60,Arbok,50,24,65,79,80,poison,,65,1,0,1096,25
55,320,190,40,1000000,0.4,35,Pikachu,50,25,50,50,90,electric,,6,1,0,280,26
85,485,75,50,1000000,,60,Raichu,50,26,95,85,110,electric,electric,,1,0,927,27
75,300,255,90,1000000,,50,Sandshrew,50,27,10,35,40,ground,ice,,1,0,1149,28
100,450,90,120,1000000,,75,Sandslash,50,28,25,65,65,ground,ice,,1,0,433,29
47,275,235,52,1059860,0.4,55,Nidoran,0,29,40,40,41,poison,,7,1,0,226,30
62,365,120,67,1059860,0.8,70,Nidorina,0,30,55,55,56,poison,,20,1,0,1046,31
92,505,45,87,1059860,1.3,90,Nidoqueen,0,31,75,85,76,poison,ground,60,1,0,1025,32
57,273,235,40,1059860,0.5,46,Nidoran‚,100,32,40,40,50,poison,,9,1,0,496,33
72,365,120,57,1059860,0.9,61,Nidorino,100,33,55,55,65,poison,,19.5,1,0,1060,34
102,505,45,77,1059860,1.4,81,Nidoking,100,34,85,75,85,poison,ground,62,1,0,607,35
45,323,150,48,800000,0.6,70,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0,413,36
70,483,25,73,800000,1.3,95,Clefable,24.6,36,95,90,60,fairy,,40,1,0,993,37
41,299,190,40,1000000,,38,Vulpix,24.6,37,50,65,65,fire,ice,,1,0,528,38
67,505,75,75,1000000,,73,Ninetales,24.6,38,81,100,109,fire,ice,,1,0,380,39
45,270,170,20,800000,0.5,115,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,852,40
70,435,50,45,800000,1,140,Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0,419,41
45,245,255,35,1000000,0.8,40,Zubat,50,41,30,40,55,poison,flying,7.5,1,0,751,42
80,455,90,70,1000000,1.6,75,Golbat,50,42,65,75,90,poison,flying,55,1,0,982,43
50,320,255,55,1059860,0.5,45,Oddish,50,43,75,65,30,grass,poison,5.4,1,0,558,44
65,395,120,70,1059860,0.8,60,Gloom,50,44,85,75,40,grass,poison,8.6,1,0,95,45
80,490,45,85,1059860,1.2,75,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0,770,46
70,285,190,55,1000000,0.3,35,Paras,50,46,45,55,25,bug,grass,5.4,1,0,1150,47
95,405,75,80,1000000,1,60,Parasect,50,47,60,80,30,bug,grass,29.5,1,0,1111,48
55,305,190,50,1000000,1,60,Venonat,50,48,40,55,45,bug,poison,30,1,0,694,49
65,450,75,60,1000000,1.5,70,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0,553,50
55,265,255,30,1000000,,10,Diglett,50,50,35,45,90,ground,ground,,1,0,86,51
100,425,50,60,1000000,,35,Dugtrio,50,51,50,70,110,ground,ground,,1,0,889,52
35,290,255,35,1000000,,40,Meowth,50,52,50,40,90,normal,dark,,1,0,841,53
60,440,90,60,1000000,,65,Persian,50,53,75,65,115,normal,dark,,1,0,1070,54
52,320,190,48,1000000,0.8,50,Psyduck,50,54,65,50,55,water,,19.6,1,0,718,55
